score_momento,cnpj_basico,cnpj,razao_social,na_base_mestre,STATUS_RELACIONAMENTO_REAL,Porte,CNAE PRIMARIO,tipo_sinal,descricao,papel,qualificacao,qualificacao_desc,municipio,bairro,area_total,unidade_medida,data_evento,data_publicacao,idade_dias,peso,validade_dias,cno,fonte
4.96,61966631,61966631000154,MIRAJ PATACHO EMPREENDIMENTO IMOBILIARIO SPE LTDA,True,Sem relacionamento,DEMAIS,Incorporacao de empreendimentos imobiliarios,obra_nova,"MIRAJ PATACHO EMPREENDIMENTO IMOBILIARIO SPE LTDA — Porto De Pedras, 8.831 m2 (dono da obra, responsável)",responsável,0057,Dono da obra,PORTO DE PEDRAS,PATACHO,8831.25,m2,2026-09-24,2026-09-24,1,5.0,120,900306926375,CNO / Receita Federal
4.75,51482387,51482387000109,PROJETO IMOBILIARIO RECORD 27 SPE LTDA,True,Sem relacionamento,DEMAIS,Incorporacao de empreendimentos imobiliarios,obra_nova,"CASA MAR ARTEFACTO — Porto De Pedras, 138.000 m2 (proprietário do imóvel, responsável)",responsável,0070,Proprietário do imóvel,PORTO DE PEDRAS,LAGES,138000.41,m2,2026-09-19,2026-09-19,6,5.0,120,900306152070,CNO / Receita Federal
4.62,21575654,21575654000113,J.W. MARTINS ASSESSORIA EMPRESARIAL LTDA,False,,,,obra_nova,"J.W. MARTINS - BRISAS DE MARAGOGI — Maragogi, 11.562 m2 (proprietário do imóvel, responsável)",responsável,0070,Proprietário do imóvel,MARAGOGI,PEROBA,11561.66,m2,2026-09-16,2026-09-23,9,5.0,120,900306693177,CNO / Receita Federal
4.54,64272150,64272150000137,BARCELOS INCORPORACAO E INVESTIMENTOS SPE LTDA,True,Sem relacionamento,DEMAIS,Incorporacao de empreendimentos imobiliarios,obra_nova,"BARCELOS INCORPORACAO E INVESTIMENTOS SPE LTDA — Marechal Deodoro, 31.198 m2 (proprietário do imóvel, responsável)",responsável,0070,Proprietário do imóvel,MARECHAL DEODORO,POVOADO MALHADAS,31198.28,m2,2026-09-14,2026-09-14,11,5.0,120,900305184076,CNO / Receita Federal
4.38,12227641,12227641000162,(sem nome no CNO) CNPJ 12227641000162,False,,,,obra_nova,"DELTA SERVICOS GERAIS LTDA — Belém, 18.800 Outra (pessoa jurídica construtora, vínculo)",vínculo,0053,Pessoa jurídica construtora,BELÉM,CENTRO,18800.0,Outra,2026-09-10,2026-09-11,15,5.0,120,900304802878,CNO / Receita Federal
4.38,24509006,24509006000157,DELTA SERVICOS GERAIS LTDA,True,Sem relacionamento,PEQUENO PORTE,Construcao de edificios,obra_nova,"DELTA SERVICOS GERAIS LTDA — Belém, 18.800 Outra (pessoa jurídica construtora, responsável)",responsável,0053,Pessoa jurídica construtora,BELÉM,CENTRO,18800.0,Outra,2026-09-10,2026-09-11,15,5.0,120,900304802878,CNO / Receita Federal
4.0,59886495,59886495000140,UP STUDIOS EMPREENDIMENTO IMOBILIARIO SPE LTDA.,False,,,,obra_nova,"EDIFÍCIO UP! STUDIOS — Maceió, 7.487 m2 (dono da obra, responsável)",responsável,0057,Dono da obra,MACEIÓ,JATIUCA,7487.28,m2,2026-09-01,2026-09-01,24,5.0,120,900303153872,CNO / Receita Federal
4.0,55685383,55685383000170,ARCADIS SERVICOS E CONSULTORIA LTDA,True,Sem relacionamento,PEQUENO PORTE,Construcao de edificios,obra_nova,"ARCADIS SERVICOS E CONSULTORIA LTDA — Ouro Branco, 13.898 m2 (pessoa jurídica construtora, responsável)",responsável,0053,Pessoa jurídica construtora,OURO BRANCO,Zona Rural,13898.4,m2,2026-09-01,2026-09-09,24,5.0,120,900304440678,CNO / Receita Federal
4.0,05841115,05841115000122,CONSTRUSAT ENGENHARIA LTDA,True,Sem relacionamento,DEMAIS,Construcao de edificios,obra_nova,"CONSTRUSAT ENGENHARIA LTDA — Craíbas, 19.500 Outra (pessoa jurídica construtora, responsável)",responsável,0053,Pessoa jurídica construtora,CRAÍBAS,CENTRO,19500.0,Outra,2026-09-01,2026-09-21,24,5.0,120,900306250577,CNO / Receita Federal
4.0,58075489,58075489000140,FORTALLECE EMPREENDIMENTO IMOBILIARIO SPE LTDA.,True,Sem relacionamento,DEMAIS,Incorporacao de empreendimentos imobiliarios,obra_nova,"EDIFÍCIO DUO DESIGN — Maceió, 10.039 m2 (proprietário do imóvel, responsável)",responsável,0070,Proprietário do imóvel,MACEIÓ,PONTA DA TERRA,10038.86,m2,2026-09-01,2026-09-18,24,5.0,120,900306099778,CNO / Receita Federal
4.0,12258141,12258141000198,(sem nome no CNO) CNPJ 12258141000198,False,,,,obra_nova,"ARCADIS SERVICOS E CONSULTORIA LTDA — Ouro Branco, 13.898 m2 (pessoa jurídica construtora, vínculo)",vínculo,0053,Pessoa jurídica construtora,OURO BRANCO,Zona Rural,13898.4,m2,2026-09-01,2026-09-09,24,5.0,120,900304440678,CNO / Receita Federal
4.0,08439549,08439549000199,(sem nome no CNO) CNPJ 08439549000199,False,,,,obra_nova,"CONSTRUSAT ENGENHARIA LTDA — Craíbas, 19.500 Outra (pessoa jurídica construtora, vínculo)",vínculo,0053,Pessoa jurídica construtora,CRAÍBAS,CENTRO,19500.0,Outra,2026-09-01,2026-09-21,24,5.0,120,900306250577,CNO / Receita Federal
3.96,57179215,57179215000139,CONDOMINIO RESERVA DO CAJUEIRO EMPREENDIMENTO IMOBILIARIO SPE LTDA,True,Somente SESI,DEMAIS,Incorporacao de empreendimentos imobiliarios,obra_nova,"CONDOMINIO RESERVA DO CAJUEIRO EMPREENDIMENTO IMOBILIARIO SPE LTDA — Marechal Deodoro, 21.474 m2 (dono da obra, responsável)",responsável,0057,Dono da obra,MARECHAL DEODORO,POVOADO TAPERAGUÁ,21474.44,m2,2026-08-31,2026-08-31,25,5.0,120,900302934179,CNO / Receita Federal
3.77,43773181,43773181000100,MOREIRA NOBRE ENGENHARIA LTDA,True,Somente SESI,MICRO EMPRESA,Construcao de edificios,obra_nova,"MOREIRA NOBRE ENGENHARIA LTDA — Barra De São Miguel, 1.041 m2 (pessoa jurídica construtora, responsável)",responsável,0053,Pessoa jurídica construtora,BARRA DE SÃO MIGUEL,PRAIA BONITA,1041.4,m2,2026-09-18,2026-09-18,7,4.0,120,900306061672,CNO / Receita Federal
3.77,58011882,58011882000170,(sem nome no CNO) CNPJ 58011882000170,False,,,,obra_nova,"MOREIRA NOBRE ENGENHARIA LTDA — Barra De São Miguel, 1.041 m2 (pessoa jurídica construtora, vínculo)",vínculo,0053,Pessoa jurídica construtora,BARRA DE SÃO MIGUEL,PRAIA BONITA,1041.4,m2,2026-09-18,2026-09-18,7,4.0,120,900306061672,CNO / Receita Federal
3.47,12264628,12264628000183,(sem nome no CNO) CNPJ 12264628000183,False,,,,obra_nova,"CL2 CONSTRUCOES LTDA — Campo Alegre, 1.500 m2 (pessoa jurídica construtora, vínculo)",vínculo,0053,Pessoa jurídica construtora,CAMPO ALEGRE,SAO FRANCISCO,1499.72,m2,2026-09-09,2026-09-22,16,4.0,120,900306584775,CNO / Receita Federal
